instance,HT_win_acc,HT_cum_acc,HAT_win_acc,HAT_cum_acc,NB_win_acc,NB_cum_acc,ARF_win_acc,ARF_cum_acc,OB_win_acc,OB_cum_acc
0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,14.29,14.29,0.00,0.00,14.29,14.29,14.29,14.29,0.00,0.00
7,12.50,12.50,0.00,0.00,12.50,12.50,12.50,12.50,0.00,0.00
8,11.11,11.11,0.00,0.00,11.11,11.11,11.11,11.11,0.00,0.00
9,10.00,10.00,0.00,0.00,10.00,10.00,10.00,10.00,0.00,0.00
10,9.09,9.09,0.00,0.00,9.09,9.09,9.09,9.09,0.00,0.00
11,8.33,8.33,0.00,0.00,8.33,8.33,8.33,8.33,0.00,0.00
12,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,0.00,0.00
13,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,0.00,0.00
14,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,0.00,0.00
15,12.50,12.50,6.25,6.25,12.50,12.50,12.50,12.50,6.25,6.25
16,11.76,11.76,11.76,11.76,11.76,11.76,17.65,17.65,5.88,5.88
17,11.11,11.11,11.11,11.11,11.11,11.11,16.67,16.67,5.56,5.56
18,15.79,15.79,10.53,10.53,15.79,15.79,21.05,21.05,10.53,10.53
19,15.00,15.00,10.00,10.00,15.00,15.00,25.00,25.00,10.00,10.00
20,14.29,14.29,9.52,9.52,14.29,14.29,23.81,23.81,9.52,9.52
21,18.18,18.18,9.09,9.09,18.18,18.18,22.73,22.73,9.09,9.09
22,17.39,17.39,8.70,8.70,17.39,17.39,26.09,26.09,13.04,13.04
23,16.67,16.67,8.33,8.33,16.67,16.67,25.00,25.00,12.50,12.50
24,20.00,20.00,8.00,8.00,20.00,20.00,24.00,24.00,16.00,16.00
25,19.23,19.23,7.69,7.69,19.23,19.23,26.92,26.92,15.38,15.38
26,18.52,18.52,7.41,7.41,18.52,18.52,29.63,29.63,14.81,14.81
27,17.86,17.86,7.14,7.14,17.86,17.86,28.57,28.57,14.29,14.29
28,17.24,17.24,6.90,6.90,17.24,17.24,27.59,27.59,13.79,13.79
29,16.67,16.67,6.67,6.67,16.67,16.67,26.67,26.67,13.33,13.33
30,19.35,19.35,6.45,6.45,19.35,19.35,25.81,25.81,16.13,16.13
31,18.75,18.75,6.25,6.25,18.75,18.75,25.00,25.00,15.62,15.62
32,21.21,21.21,9.09,9.09,21.21,21.21,27.27,27.27,18.18,18.18
33,23.53,23.53,11.76,11.76,23.53,23.53,26.47,26.47,20.59,20.59
34,22.86,22.86,11.43,11.43,22.86,22.86,25.71,25.71,20.00,20.00
35,22.22,22.22,11.11,11.11,22.22,22.22,25.00,25.00,19.44,19.44
36,24.32,24.32,13.51,13.51,24.32,24.32,24.32,24.32,21.62,21.62
37,26.32,26.32,15.79,15.79,26.32,26.32,26.32,26.32,23.68,23.68
38,25.64,25.64,15.38,15.38,25.64,25.64,25.64,25.64,23.08,23.08
39,25.00,25.00,15.00,15.00,25.00,25.00,25.00,25.00,22.50,22.50
40,24.39,24.39,14.63,14.63,24.39,24.39,24.39,24.39,21.95,21.95
41,26.19,26.19,16.67,16.67,26.19,26.19,26.19,26.19,23.81,23.81
42,27.91,27.91,18.60,18.60,27.91,27.91,25.58,25.58,25.58,25.58
43,29.55,29.55,20.45,20.45,29.55,29.55,25.00,25.00,27.27,27.27
44,31.11,31.11,22.22,22.22,31.11,31.11,26.67,26.67,28.89,28.89
45,32.61,32.61,23.91,23.91,32.61,32.61,26.09,26.09,30.43,30.43
46,34.04,34.04,25.53,25.53,34.04,34.04,27.66,27.66,31.91,31.91
47,35.42,35.42,27.08,27.08,35.42,35.42,29.17,29.17,33.33,33.33
48,34.69,34.69,26.53,26.53,34.69,34.69,28.57,28.57,32.65,32.65
49,36.00,36.00,28.00,28.00,36.00,36.00,30.00,30.00,34.00,34.00
50,35.29,35.29,27.45,27.45,35.29,35.29,29.41,29.41,33.33,33.33
51,36.54,36.54,28.85,28.85,36.54,36.54,30.77,30.77,34.62,34.62
52,35.85,35.85,28.30,28.30,35.85,35.85,32.08,32.08,35.85,35.85
53,35.19,35.19,27.78,27.78,35.19,35.19,31.48,31.48,35.19,35.19
54,36.36,36.36,29.09,29.09,36.36,36.36,32.73,32.73,36.36,36.36
55,37.50,37.50,30.36,30.36,37.50,37.50,33.93,33.93,37.50,37.50
56,36.84,36.84,29.82,29.82,36.84,36.84,33.33,33.33,36.84,36.84
57,36.21,36.21,31.03,31.03,36.21,36.21,32.76,32.76,36.21,36.21
58,35.59,35.59,30.51,30.51,35.59,35.59,33.90,33.90,35.59,35.59
59,36.67,36.67,31.67,31.67,36.67,36.67,35.00,35.00,36.67,36.67
